Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P009_WA07	1935090	796908	41.2	318	264	261	208	122	71	0	17	31	0	0	261	0	147975
FMN_104811_P009_WA08	1036994	433711	41.8	308	255	252	215	143	88	1	5	9	0	0	252	0	164157
FMN_104811_P009_WA10	1698880	680549	40.1	312	249	248	192	103	54	0	24	63	0	0	248	0	135345
FMN_104811_P009_WA11	5808606	2474763	42.6	346	289	288	252	181	111	0	53	77	0	0	288	0	194364
FMN_104811_P009_WB01	3615770	1539073	42.6	330	275	272	222	146	80	0	43	67	0	0	272	0	164115
FMN_104811_P009_WB04	188208	68423	36.4	275	176	172	108	31	4	0	0	6	0	0	172	0	67203
FMN_104811_P009_WB05	1695958	693557	40.9	313	255	254	209	120	64	0	27	49	0	0	254	0	149427
FMN_104811_P009_WB07	2167344	874889	40.4	315	256	253	193	106	56	0	4	12	0	0	253	0	132141
FMN_104811_P009_WB08	1953680	803162	41.1	310	264	261	189	108	52	0	3	10	0	0	261	0	137604
FMN_104811_P009_WB09	3247654	1379501	42.5	329	276	275	226	142	81	0	10	20	0	0	275	0	162276
FMN_104811_P009_WB10	2391518	983940	41.1	323	266	264	195	116	61	0	5	13	0	0	264	0	140412
FMN_104811_P009_WC04	4417858	1839224	41.6	327	280	277	235	139	76	1	8	18	0	0	277	0	160389
FMN_104811_P009_WC05	1239356	492810	39.8	293	229	228	167	81	39	0	2	8	0	0	228	0	113121
FMN_104811_P009_WC06	3027314	1269810	41.9	320	279	276	239	155	100	1	11	17	0	0	276	0	182265
FMN_104811_P009_WC08	2686894	1091533	40.6	320	271	269	221	135	82	1	40	57	0	0	269	0	164304
FMN_104811_P009_WC09	1443842	582791	40.4	312	250	248	199	111	61	0	26	44	0	0	248	0	142134
FMN_104811_P009_WC11	3227834	1387064	43.0	334	280	278	255	201	131	1	59	79	0	0	278	0	205536
FMN_104811_P009_WC12	2477770	1050164	42.4	327	278	277	243	161	102	0	43	67	0	0	277	0	181824
FMN_104811_P009_WD02	1312964	531659	40.5	302	240	237	178	95	38	0	2	15	0	0	237	0	117039
FMN_104811_P009_WD03	1343146	551763	41.1	301	246	243	179	97	46	0	3	8	0	0	243	0	124353
FMN_104811_P009_WD04	2370000	986268	41.6	321	265	262	191	100	43	0	2	13	0	0	262	0	125841
FMN_104811_P009_WD05	1022868	411297	40.2	297	230	229	177	91	45	0	19	38	0	0	229	0	122769
FMN_104811_P009_WD06	312576	118283	37.8	264	174	174	117	47	18	0	3	9	0	0	174	0	78267
FMN_104811_P009_WD07	849406	341405	40.2	292	227	226	170	95	44	0	20	36	0	0	226	0	121041
FMN_104811_P009_WD08	3119162	1316817	42.2	332	263	262	232	150	87	1	42	62	0	0	262	0	172353
FMN_104811_P009_WD09	2184744	878911	40.2	323	249	247	205	108	50	0	18	52	0	0	247	0	137457
FMN_104811_P009_WD10	2192562	886758	40.4	321	249	247	196	103	58	0	24	48	0	0	247	0	134730
FMN_104811_P009_WD11	1539724	629393	40.9	303	243	242	185	96	45	0	12	45	0	0	242	0	123267
FMN_104811_P009_WD12	4020774	1753325	43.6	334	277	276	248	177	113	1	55	83	0	0	276	0	192036
FMN_104811_P009_WE01	1305564	524945	40.2	317	236	233	200	113	66	0	27	56	0	0	233	0	140097
FMN_104811_P009_WE02	1597544	658624	41.2	310	251	249	215	132	73	1	42	58	0	0	249	0	157293
FMN_104811_P009_WE04	1272524	518242	40.7	311	242	240	186	108	56	0	22	46	0	0	240	0	134034
FMN_104811_P009_WE05	1237880	507203	41.0	316	255	251	208	128	76	0	32	44	0	0	251	0	154908
FMN_104811_P009_WE06	1671204	656872	39.3	310	227	224	164	72	37	0	12	39	0	0	224	0	109269
FMN_104811_P009_WE07	2695562	1083608	40.2	318	260	258	189	105	55	0	19	40	0	0	258	0	135375
FMN_104811_P009_WE09	3062324	1308702	42.7	325	276	275	235	149	90	1	44	66	0	0	275	0	173187
FMN_104811_P009_WE10	2315448	974930	42.1	313	247	245	188	96	50	0	14	46	0	0	245	0	125883
