Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P005_WH08	953436	387453	40.6	341	232	230	230	226	213	136	66	75	0	0	230	0	403163
FMN_104811_P005_WH09	728502	288198	39.6	324	224	222	218	191	148	31	4	9	0	0	222	0	244239
FMN_104811_P005_WH10	1910262	825543	43.2	358	249	247	245	243	238	179	74	86	0	0	247	0	481523
FMN_104811_P005_WH11	577916	193058	33.4	303	203	201	199	184	163	61	32	50	0	0	201	0	275191
FMN_104811_P005_WH12	1382620	577883	41.8	355	252	249	249	245	238	161	14	16	0	0	249	0	447967
FMN_104811_P006_WA08	1196360	478054	40.0	330	265	263	263	256	240	149	15	19	0	0	263	0	428864
FMN_104811_P006_WF02	1505394	604446	40.2	334	267	265	265	261	255	195	21	31	0	0	265	0	506763
FMN_104811_P006_WF03	3138852	1419413	45.2	350	281	280	279	279	278	242	126	131	0	0	280	0	653099
FMN_104811_P006_WF04	24208	8066	33.3	244	81	79	74	51	32	0	0	0	0	0	79	0	69047
FMN_104811_P006_WF05	2927394	1198452	40.9	363	282	279	279	275	263	183	82	92	0	0	279	0	499616
FMN_104811_P006_WF06	3257434	1361123	41.8	354	279	276	276	274	262	190	82	98	0	0	276	0	510667
FMN_104811_P006_WF09	974326	341191	35.0	331	255	252	252	251	242	170	12	14	0	0	252	0	475894
FMN_104811_P006_WF10	2802518	1162556	41.5	348	278	276	276	271	257	175	86	99	0	0	276	0	491161
FMN_104811_P006_WG05	2748560	1138902	41.4	347	278	276	276	269	255	164	67	91	0	0	276	0	462656
FMN_104811_P006_WG06	2183498	790145	36.2	337	258	255	254	253	245	176	99	117	0	0	255	0	499953
FMN_104811_P006_WG10	1398970	539852	38.6	342	266	264	264	261	250	173	10	12	0	0	264	0	460637
FMN_104811_P006_WH02	2213768	902141	40.8	332	287	286	286	286	280	244	10	13	0	0	286	0	653593
